WigleWifi-1.4,appRelease=2.26,model=SM-G920F,release=7.0,device=zeroflte,display=NRD90M.G920FXXU5EQD3,board=universal7420,brand=samsung
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
58:00:e3:7d:ed:87,DIRECT-ByLAPTOP-GJJ0E8I8msWV,[WPA2-PSK-CCMP][WPS][ESS][P2P],2017-11-08 19:22:22,11,-53,32.105076629250796,35.2069878014934,685.7117909264881,12,WIFI
f0:b0:52:3e:c8:d8,Ariel_University,[ESS][BLE],2017-11-08 19:22:22,11,-58,32.105076629250796,35.2069878014934,685.7117909264881,12,WIFI
ec:8c:a2:26:d2:c8,Ariel_University,[ESS][BLE],2017-11-08 19:22:22,11,-73,32.105076629250796,35.2069878014934,685.7117909264881,12,WIFI
f0:b0:52:3e:d1:38,Ariel_University,[ESS][BLE],2017-11-08 19:22:22,6,-78,32.105076629250796,35.2069878014934,685.7117909264881,12,WIFI
f0:b0:52:3e:ca:38,Ariel_University,[ESS][BLE],2017-11-08 19:22:22,11,-76,32.105076629250796,35.2069878014934,685.7117909264881,12,WIFI
f0:b0:52:3e:d9:bc,Ariel_University,[ESS][BLE],2017-11-08 19:22:22,36,-57,32.105076629250796,35.2069878014934,685.7117909264881,12,WIFI
f0:b0:52:be:ca:37,,[WPA2-PSK-CCMP][ESS][BLE],2017-11-08 19:22:22,48,-71,32.105076629250796,35.2069878014934,685.7117909264881,12,WIFI
f0:b0:52:be:cc:17,,[WPA2-PSK-CCMP][ESS][BLE],2017-11-08 19:22:22,36,-73,32.105076629250796,35.2069878014934,685.7117909264881,12,WIFI
f0:b0:52:be:d0:37,,[WPA2-PSK-CCMP][ESS][BLE],2017-11-08 19:22:22,60,-90,32.105076629250796,35.2069878014934,685.7117909264881,12,WIFI
f0:b0:52:3e:c8:dc,Ariel_University,[ESS][BLE],2017-11-08 19:22:22,44,-60,32.105076629250796,35.2069878014934,685.7117909264881,12,WIFI
f0:b0:52:3e:d1:3c,Ariel_University,[ESS][BLE],2017-11-08 19:22:22,44,-71,32.105076629250796,35.2069878014934,685.7117909264881,12,WIFI
f0:b0:52:3e:ca:d8,Ariel_University,[ESS][BLE],2017-11-08 19:22:22,1,-71,32.105076629250796,35.2069878014934,685.7117909264881,12,WIFI
f0:b0:52:3e:ca:3c,Ariel_University,[ESS][BLE],2017-11-08 19:22:22,48,-80,32.105076629250796,35.2069878014934,685.7117909264881,12,WIFI
f0:b0:52:3e:c8:ec,Ariel_University,[ESS][BLE],2017-11-08 19:22:22,52,-88,32.105076629250796,35.2069878014934,685.7117909264881,12,WIFI
