Time,ID,Lat,Lon,Alt,WiFi Networks,SSID1,MAC1,Frequncy1,Signal1,SSID2,MAC2,Frequncy2,Signal2,SSID3,MAC3,Frequncy3,Signal3,SSID4,MAC4,Frequncy4,Signal4,SSID5,MAC5,Frequncy5,Signal5,SSID6,MAC6,Frequncy6,Signal6,SSID7,MAC7,Frequncy7,Signal7,SSID8,MAC8,Frequncy8,Signal8,SSID9,MAC9,Frequncy9,Signal9,SSID10,MAC10,Frequncy10,Signal10,
28/10/2017 20:10,OnePlus3T,32.0909486,34.8786141,0.0,4,dani2305,e0:ce:c3:1a:31:75,2437,-79,FHOME,14:cc:20:c8:83:9c,2432,-83,Arnoldo 2.4,70:62:b8:31:80:4a,2412,-83,TP,f0:b4:29:88:90:94,2412,-84,
28/10/2017 20:10,OnePlus3T,32.09038727,34.87862948,56.0,4,Bezeq-NGN_E9CBFB,cc:b2:55:e9:cb:fc,2437,-68,BezeqFree,5a:ee:0c:3c:36:8e,2412,-83,che,48:ee:0c:3c:36:8d,2412,-85,Ness,c4:12:f5:f7:4a:40,2447,-85,
28/10/2017 20:10,OnePlus3T,32.09033945,34.8785252,50.0,8,ester10,c0:ac:54:f5:b5:7b,2412,-73,HOTBOX-Tatyana,d4:7b:b0:79:ca:1e,2412,-74,Ness,c4:12:f5:f7:4a:40,2447,-77,igor,14:ae:db:44:fa:bd,2412,-81,Dima,8c:59:c3:ea:db:86,2462,-83,DIRECT-A9-HP DeskJet 3830 series,dc:4a:3e:0c:8b:aa,2437,-83,Gorge 2.4 G,90:8d:78:54:df:51,2432,-83,Solomon,10:be:f5:3c:a7:b4,2422,-87,
28/10/2017 20:11,OnePlus3T,32.09026265,34.87842737,56.0,10,Bobrov,80:1f:02:e3:9a:4b,2447,-79,Diana,40:65:a3:23:a1:04,2462,-82,HOTBOX-3304,c0:ac:54:f8:09:e4,2412,-84,Censureded,18:a6:f7:8e:1c:5a,2462,-84,Diana,c0:d9:62:f4:fa:de,2462,-85,TP-LINK_2.4GHz_FEC6D9,30:b5:c2:fe:c6:d9,2437,-87,DIRECT-F1-HP DeskJet 4670 series,fc:3f:db:e5:74:f2,2462,-87,Partner-4G-1E3F,88:28:b3:8a:1e:3f,2417,-87,Gorge 5G,90:8d:78:54:df:50,5240,-88,Gorge 5G,90:8d:78:54:df:50,5240,-88,
28/10/2017 20:11,OnePlus3T,32.09048524,34.87696121,52.0,10,Glenda,08:6a:0a:22:4d:25,2412,-72,mherab,a0:ab:1b:5d:4f:10,2462,-73,Bezeq Free,6a:ab:1b:5d:4f:11,2462,-74,Nirman,c4:12:f5:f6:7c:0a,2462,-77,Dimitry26,14:ae:db:52:9e:45,2412,-78,HOTBOX-52F3,e8:d1:1b:73:52:f9,2412,-78,Solomon,10:be:f5:3c:a7:b4,2422,-79,Bobrov,80:1f:02:e3:9a:4b,2447,-79,Anatoliy,00:78:9e:fb:85:8e,2412,-79,BezeqFree,6a:12:f5:f6:7c:0b,2462,-79,
28/10/2017 20:11,OnePlus3T,32.09052945,34.87665276,53.0,10,jony,14:ae:db:32:bc:da,2417,-74,BezeqFree,14:af:db:32:bc:da,2417,-77,tiram,d0:d4:12:5e:73:e2,2437,-79,Mariano2.4,3c:1e:04:04:cf:53,2452,-81,Yair,14:ae:db:b6:8d:b5,2412,-82,avi_2.4,10:5a:f7:08:7b:35,2412,-83,BezeqFree,06:ae:db:b6:8d:b5,2412,-83,jony_5,14:ae:db:32:bc:dd,5240,-86,itzhakm-5,f8:e9:03:14:70:c2,5240,-87,DIRECT-80-HP DeskJet 3830 series,30:e1:71:fb:82:81,2452,-87,
28/10/2017 20:11,OnePlus3T,32.09067595,34.87591729,51.0,10,Glenda,08:6a:0a:22:4d:25,2412,-72,mherab,a0:ab:1b:5d:4f:10,2462,-73,Bezeq Free,6a:ab:1b:5d:4f:11,2462,-74,Anatoliy,00:78:9e:fb:85:8e,2412,-76,Nirman,c4:12:f5:f6:7c:0a,2462,-77,Dimitry26,14:ae:db:52:9e:45,2412,-78,HOTBOX-52F3,e8:d1:1b:73:52:f9,2412,-78,Solomon,10:be:f5:3c:a7:b4,2422,-79,Bobrov,80:1f:02:e3:9a:4b,2447,-79,BezeqFree,6a:12:f5:f6:7c:0b,2462,-79,
28/10/2017 20:11,OnePlus3T,32.09076483,34.8751963,52.0,10,jony,14:ae:db:32:bc:da,2417,-74,BezeqFree,14:af:db:32:bc:da,2417,-77,tiram,d0:d4:12:5e:73:e2,2437,-79,Mariano2.4,3c:1e:04:04:cf:53,2452,-81,BezeqFree,06:ae:db:49:01:35,2437,-81,Yakov,64:70:02:57:c8:26,2412,-81,Yair,14:ae:db:b6:8d:b5,2412,-82,avi_2.4,10:5a:f7:08:7b:35,2412,-83,Ilana,14:ae:db:49:01:35,2437,-83,Shilat15,14:ae:db:4d:2b:35,2452,-83,
28/10/2017 20:11,OnePlus3T,32.09084613,34.87454983,54.0,10,Glenda,08:6a:0a:22:4d:25,2412,-72,mherab,a0:ab:1b:5d:4f:10,2462,-73,Bezeq Free,6a:ab:1b:5d:4f:11,2462,-74,Anatoliy,00:78:9e:fb:85:8e,2412,-76,Nirman,c4:12:f5:f6:7c:0a,2462,-77,Dimitry26,14:ae:db:52:9e:45,2412,-78,HOTBOX-52F3,e8:d1:1b:73:52:f9,2412,-78,Solomon,10:be:f5:3c:a7:b4,2422,-79,Bobrov,80:1f:02:e3:9a:4b,2447,-79,BezeqFree,6a:12:f5:f6:7c:0b,2462,-79,
28/10/2017 20:11,OnePlus3T,32.09085776,34.87439124,54.0,4,Xiaomi_2DEE,28:6c:07:c4:2d:ef,2437,-80,Bezeq-a_4B00,6c:2e:85:fe:b5:7e,2462,-88,ToTheNet,a0:ab:1b:5e:14:22,2427,-89,TP-LINK_B37960,30:b5:c2:b3:79:60,2427,-89,
