WigleWifi-1.4,appRelease=2.25,model=SM-G920F,release=7.0,device=zeroflte,display=NRD90M.G920FXXU5EQD3,board=universal7420,brand=samsung,,,
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
24:c9:a1:33:34:68,Ariel_University,[ESS],26/10/2017 14:07,11,-56,32.10432895,35.20499025,688.1184747,16,WIFI
8c:0c:90:01:38:08,Ariel_University,[ESS],26/10/2017 14:07,11,-74,32.10432895,35.20499025,688.1184747,16,WIFI
8c:0c:90:2f:78:48,Ariel_University,[ESS],26/10/2017 14:07,6,-91,32.10432895,35.20499025,688.1184747,16,WIFI
24:c9:a1:36:51:b8,Ariel_University,[ESS],26/10/2017 14:07,2,-85,32.10432895,35.20499025,688.1184747,16,WIFI
24:c9:a1:36:52:f8,Ariel_University,[ESS],26/10/2017 14:07,11,-85,32.10432895,35.20499025,688.1184747,16,WIFI
24:c9:a1:35:a6:98,Ariel_University,[ESS],26/10/2017 14:07,6,-88,32.10432895,35.20499025,688.1184747,16,WIFI
8c:0c:90:2f:2b:98,Ariel_University,[ESS],26/10/2017 14:07,1,-91,32.10432895,35.20499025,688.1184747,16,WIFI
e0:10:7f:1a:89:c8,Ariel_University,[ESS],26/10/2017 14:07,6,-89,32.10432895,35.20499025,688.1184747,16,WIFI
42502_811_3868449,Cellcom,UNKNOWN;il,26/10/2017 14:07,0,-111,32.10432895,35.20499025,688.1184747,16,GSM
24:c9:a1:b6:51:b3,,[WPA2-PSK-CCMP][ESS],26/10/2017 14:07,2,-84,32.10432164,35.20500799,689.1979195,16,WIFI
8c:0c:90:6e:e3:a3,island-2EE3A0,[WPA2-PSK-CCMP][ESS],26/10/2017 14:07,10,-91,32.10432164,35.20500799,689.1979195,16,WIFI
e0:10:7f:1a:89:c8,Ariel_University,[ESS],26/10/2017 14:07,6,-66,32.10433576,35.20525299,689.7481981,32,WIFI
8c:0c:90:2f:78:48,Ariel_University,[ESS],26/10/2017 14:08,6,-85,32.1043185,35.20527894,689.1082083,24,WIFI
24:c9:a1:35:a5:e8,Ariel_University,[ESS],26/10/2017 14:08,6,-92,32.1043185,35.20527894,689.1082083,24,WIFI
e0:10:7f:9a:89:c3,,[WPA2-PSK-CCMP][ESS],26/10/2017 14:08,6,-90,32.10418213,35.20559793,678.5670985,16,WIFI
24:c9:a1:76:5c:73,island-365C70,[WPA2-PSK-CCMP][ESS],26/10/2017 14:16,1,-82,32.10447856,35.20557262,667.1822797,32,WIFI
8c:0c:90:01:38:08,Ariel_University,[ESS],26/10/2017 14:16,11,-67,32.10447856,35.20557262,667.1822797,32,WIFI
1c:b9:c4:16:28:ec,Ariel_University,[ESS][BLE],26/10/2017 17:08,40,-37,32.10357025,35.2090138,728.0776025,16,WIFI
1c:b9:c4:16:d2:8c,Ariel_University,[ESS][BLE],26/10/2017 17:08,40,-58,32.10357025,35.2090138,728.0776025,16,WIFI
1c:b9:c4:16:28:e8,Ariel_University,[ESS][BLE],26/10/2017 17:08,1,-38,32.10357025,35.2090138,728.0776025,16,WIFI
24:79:2a:2c:3d:68,Ariel_University,[ESS][BLE],26/10/2017 17:08,11,-72,32.10357025,35.2090138,728.0776025,16,WIFI
1c:b9:c4:16:d2:88,Ariel_University,[ESS][BLE],26/10/2017 17:08,6,-50,32.10357025,35.2090138,728.0776025,16,WIFI
24:79:2a:2c:3d:6c,Ariel_University,[ESS][BLE],26/10/2017 17:08,44,-85,32.10357025,35.2090138,728.0776025,16,WIFI
34:8f:27:20:8c:18,Ariel_University,[ESS][BLE],26/10/2017 17:08,1,-83,32.10357025,35.2090138,728.0776025,16,WIFI
00:25:86:cb:fd:f8,,[ESS],26/10/2017 17:08,9,-75,32.10357025,35.2090138,728.0776025,16,WIFI
1c:b9:c4:16:e5:a8,Ariel_University,[ESS][BLE],26/10/2017 17:08,11,-89,32.10357025,35.2090138,728.0776025,16,WIFI
ec:8c:a2:08:78:c8,Ariel_University,[ESS][BLE],26/10/2017 17:08,6,-86,32.10357025,35.2090138,728.0776025,16,WIFI
ec:8c:a2:88:78:c7,,[WPA2-PSK-CCMP][ESS][BLE],26/10/2017 17:08,40,-86,32.10357025,35.2090138,728.0776025,16,WIFI
ec:8c:a2:08:78:cc,Ariel_University,[ESS][BLE],26/10/2017 17:08,40,-87,32.10357025,35.2090138,728.0776025,16,WIFI
