 BSSID;LAT;LON;SSID;Crypt;Beacon Interval;Connection Mode;Channel;RXL;Date;Time
00:1A:2F:7F:6B:70;32.10540;35.20507;;WPA2;-93;Infra;13;-90;2017/10/25;17:32:18
00:1A:DD:E2:DC:24;32.10360;35.20706;afikim-wifi;Open;-79;Infra;1;-76;2017/10/25;15:46:51
00:25:86:BC:B5:DC;32.10532;35.20473;Private-140;WpaPsk;-63;Infra;13;-60;2017/10/25;17:07:08
00:25:86:CC:00:F8;32.10356;35.20706;AUC_54_R;Open;-72;Infra;5;-69;2017/10/25;15:47:10
00:25:86:CC:07:B2;32.10358;35.20706;KCG_54;Open;-72;Infra;2;-70;2017/10/25;15:46:36
00:27:19:14:04:78;32.10358;35.20724;AUC;Open;-79;Infra;6;-76;2017/10/25;15:48:43
00:27:19:E3:2D:FE;32.10351;35.20712;AUC_51_3;Open;-73;Infra;9;-70;2017/10/25;15:47:20
00:27:22:F3:BB:3A;32.10356;35.20701;;Open;-91;Infra;6;-89;2017/10/25;15:52:34
00:27:22:F3:E1:DA;32.10356;35.20706;;Open;-93;Infra;1;-90;2017/10/25;15:47:10
02:1A:11:FC:41:74;32.10363;35.20661;moses8010;WPA2;-93;Infra;6;-83;2017/10/25;15:39:42
14:9D:09:80:18:65;32.10356;35.20701;HUAWEI-1865;WPA2;-91;Infra;3;-89;2017/10/25;15:52:14
14:AE:DB:39:F8:8D;32.10535;35.20497;ariel;WPA2;-92;Infra;1;-88;2017/10/25;17:07:38
1C:B9:C4:14:2B:18;32.10359;35.20661;Ariel_University;?;-58;Infra;6;-48;2017/10/25;15:55:44
1C:B9:C4:14:2B:1C;32.10368;35.20665;Ariel_University;?;-62;Infra;36;-50;2017/10/25;15:45:40
1C:B9:C4:15:36:78;32.10356;35.20706;Ariel_University;?;-82;Infra;11;-79;2017/10/25;15:47:10
1C:B9:C4:15:36:7C;32.10350;35.20732;Ariel_University;?;-90;Infra;52;-87;2017/10/25;15:47:59
1C:B9:C4:15:36:88;32.10367;35.20660;Ariel_University;?;-57;Infra;11;-49;2017/10/25;15:45:45
1C:B9:C4:15:36:8C;32.10365;35.20659;Ariel_University;?;-56;Infra;36;-50;2017/10/25;15:53:58
1C:B9:C4:15:FD:68;32.10411;35.20627;Ariel_University;?;-109;Infra;11;-84;2017/10/25;15:44:50
1C:B9:C4:16:04:DC;32.10408;35.20635;Ariel_University;?;-89;Infra;52;-83;2017/10/25;15:40:07
1C:B9:C4:16:06:38;32.10368;35.20656;Ariel_University;?;-58;Infra;1;-50;2017/10/25;15:54:05
1C:B9:C4:16:06:3C;32.10363;35.20661;Ariel_University;?;-62;Infra;36;-52;2017/10/25;15:45:35
1C:B9:C4:16:18:78;32.10365;35.20659;Ariel_University;?;-74;Infra;6;-68;2017/10/25;15:53:58
1C:B9:C4:16:18:7C;32.10363;35.20661;Ariel_University;?;-84;Infra;40;-74;2017/10/25;15:45:35
1C:B9:C4:16:28:88;32.10345;35.20731;Ariel_University;?;-75;Infra;11;-72;2017/10/25;15:47:44
1C:B9:C4:16:28:8C;32.10346;35.20731;Ariel_University;?;-87;Infra;48;-84;2017/10/25;15:47:49
1C:B9:C4:16:D2:88;32.10359;35.20704;Ariel_University;?;-88;Infra;6;-86;2017/10/25;15:49:13
1C:B9:C4:16:D2:8C;32.10354;35.20730;Ariel_University;?;-89;Infra;40;-86;2017/10/25;15:48:38
1C:B9:C4:16:EC:58;32.10363;35.20661;Ariel_University;?;-64;Infra;1;-54;2017/10/25;15:45:30
1C:B9:C4:16:EC:5C;32.10363;35.20661;Ariel_University;?;-72;Infra;44;-62;2017/10/25;15:39:42
1C:B9:C4:94:2B:17;32.10365;35.20659;;WPA2;-65;Infra;36;-59;2017/10/25;15:53:58
1C:B9:C4:95:36:77;32.10358;35.20707;;WPA2;-91;Infra;52;-89;2017/10/25;15:49:37
1C:B9:C4:95:36:87;32.10365;35.20659;;WPA2;-57;Infra;36;-51;2017/10/25;15:53:58
1C:B9:C4:96:04:D7;32.10408;35.20635;;WPA2;-89;Infra;52;-83;2017/10/25;15:40:07
1C:B9:C4:96:06:37;32.10367;35.20660;;WPA2;-62;Infra;36;-54;2017/10/25;15:45:45
1C:B9:C4:96:18:77;32.10367;35.20660;;WPA2;-85;Infra;40;-77;2017/10/25;15:45:45
1C:B9:C4:96:28:87;32.10349;35.20724;;WPA2;-88;Infra;48;-85;2017/10/25;15:47:30
1C:B9:C4:96:D2:87;32.10356;35.20706;;WPA2;-90;Infra;40;-88;2017/10/25;15:50:06
1C:B9:C4:96:EC:57;32.10363;35.20661;;WPA2;-78;Infra;44;-68;2017/10/25;15:55:08
20:0C:C8:0C:10:67;32.10525;35.20476;lior;WPA2;-88;Infra;11;-85;2017/10/25;17:06:48
24:C9:A1:15:7C:18;32.10540;35.20495;Ariel_University;Open;-79;Infra;13;-75;2017/10/25;17:07:42
24:C9:A1:35:A5:E8;32.10524;35.20482;Ariel_University;Open;-88;Infra;6;-85;2017/10/25;17:06:53
24:C9:A1:35:AA:08;32.10525;35.20476;Ariel_University;Open;-83;Infra;1;-81;2017/10/25;17:07:02
